Address,Lat,Long,Description,Link
241-247 Dryburgh Street NORTH MELBOURNE VIC 3051,-37.8005442,144.9438084,Demolition of existing building  to construct a five storey building for the purposes of dwellings and alterations to existing vehicle crossing in a Road Zone 1,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=224556
18-24 Raglan Street NORTH MELBOURNE VIC 3051,-37.804231,144.949929,Enclose the existing terrace to convert to an alfresco room (Retrospective),http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=224457
51 Chapman Street NORTH MELBOURNE VIC 3051,-37.796939,144.948641,Construction of buildings and works for an extension to the existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=224279
85 Chetwynd Street NORTH MELBOURNE VIC 3051,-37.804028,144.952149,Part demolition and alterations and additions to the rear of existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=224283
362 Victoria Street NORTH MELBOURNE VIC 3051,-37.805441,144.954206,Change of use to residential and shop and buildings and works to repaint the wall and minor improvments,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=224142
173-185 Chetwynd Street NORTH MELBOURNE VIC 3051,-37.8015225,144.9527933,Installation of a fully retractable awning to the first floor balcony,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=224157
97-101 Lothian Street NORTH MELBOURNE VIC 3051,-37.801066,144.944564,Increase apartment numbers from 15 to 21 (including increased car parking) and associated alterations to facade of building,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=224168
24 Erskine Street NORTH MELBOURNE VIC 3051,-37.79459,144.944505,Construction of one double-storey dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=223957
179 Abbotsford Street NORTH MELBOURNE VIC 3051,-37.8032891,144.945094,Demolition of the existing dwellings and construction of two new dwellings,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=223862
181 Abbotsford Street NORTH MELBOURNE VIC 3051,-37.8031892,144.94511,Demolition of the existing dwellings and construction of two new dwellings,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=223862
80 Chapman Street NORTH MELBOURNE VIC 3051,-37.795218,144.947774,Demolition of existing buildings and the construction of a four-storey building comprising sixteen (16) apartments with a reduction in the standard car parking requirements,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=223872
St Josephs College 367-395 Queensberry Street NORTH MELBOURNE VIC 3051,-37.803551,144.954759,Construction of buildings and works for the part demolition of and alterations and additions to the existing building,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=223396
159-161 Abbotsford Street NORTH MELBOURNE VIC 3051,-37.8037168,144.9450193,4 Lot Subdivision of PS715859U,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=223441
18 Lothian Street NORTH MELBOURNE VIC 3051,-37.803433,144.944657,Construction of external roller shutters to the first and sectond floor windows,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=223327
80 Munster Terrace NORTH MELBOURNE VIC 3051,-37.801444,144.943175,Demolition of the existing fence and construction of a new fence,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=223222
90-98 Curzon Street NORTH MELBOURNE VIC 3051,-37.801804,144.948607,Subdivision of PS647769X,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=223225
104-110 Haines Street NORTH MELBOURNE VIC 3051,-37.798435,144.943628,Buildings and works to construct a 13 level building comprising 143 dwellings and associated waiver of car parking requirements,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=222915
112 Haines Street NORTH MELBOURNE VIC 3051,-37.798252,144.94341,Buildings and works to construct a 13 level building comprising 143 dwellings and associated waiver of car parking requirements,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=222915
112 Haines Street NORTH MELBOURNE VIC 3051,-37.798252,144.94341,"Removal of the way, drainage and sewerage part of E-1 contained within Lot 2 on PS402303R (in favour of Lots on the plan) and creation of easements E-3 & E-4 as per the table on the plan.",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=222814
104-110 Haines Street NORTH MELBOURNE VIC 3051,-37.798435,144.943628,"Removal of the way, drainage and sewerage part of E-1 contained within Lot 2 on PS402303R (in favour of Lots on the plan) and creation of easements E-3 & E-4 as per the table on the plan.",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=222814
150-154 Abbotsford Street NORTH MELBOURNE VIC 3051,-37.803922,144.945674,Alterations and additions to existing dwelling including partial demolition and to provide car parking spaces in excess of the requirements of the parking overlay,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=222623
15-19 Purcell Street NORTH MELBOURNE VIC 3051,-37.8023391,144.948826,Partial demolition and buildings and works to construct four dwellings,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=222572
139-145 Chetwynd Street NORTH MELBOURNE VIC 3051,-37.8023404,144.9526485,Reduce the height of a section of wall on the north boundary from  AHD 35.39 to AHD 29.00,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=222004
15 Chapman Street NORTH MELBOURNE VIC 3051,-37.797594,144.949573,Alterations and additions to rear of existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=222014
606 Queensberry Street NORTH MELBOURNE VIC 3051,-37.802538,144.947254,"part demolition, alterations and additions including a two storey addition to the rear of the existing dwelling and a roof terrace",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=221796
78 Molesworth Street NORTH MELBOURNE VIC 3051,-37.796807,144.947652,Demolish existing front eastern boundary fence and construct new replacement fence,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=221850
148-150 Errol Street NORTH MELBOURNE VIC 3051,-37.801543,144.95019,"Partial demolition and construction of alterations to facade of building, display of business identification signage and reduction to car parking and loading requirements in association with a food and drink premises (as of right use)",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=221509
31-55 Curran Street NORTH MELBOURNE VIC 3051,-37.793271,144.942752,Partial demolition and building and works relevant to an educational facility,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=221421
1 Errol Place NORTH MELBOURNE VIC 3051,-37.804454,144.948814,Partial demolition of the existing building and construction of a three storey dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=221377
8 Stedeford Lane NORTH MELBOURNE VIC 3051,-37.803733,144.95201,Demolition of the existing windows and construction of new windows,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=221291
105-113 Curzon Street NORTH MELBOURNE VIC 3051,-37.801179,144.948101,Use of the building for motor repairs and a reduction in the car parking requirements,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=221188
35 Chapman Street NORTH MELBOURNE VIC 3051,-37.797121,144.949062,Alterations and additions to existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=220722
42 Canning Street NORTH MELBOURNE VIC 3051,-37.795638,144.942609,Installation of solar panels,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=220622
480-482 Abbotsford Street NORTH MELBOURNE VIC 3051,-37.7949136,144.9471375,Partial demolition of front entry and construction of new front entry (door and surround) to existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=220305
520-528 Victoria Street NORTH MELBOURNE VIC 3051,-37.8051287,144.9490237,"Alterations and additions to the existing building including the provision of fire attenuation mesh to windows on the north, south and east of the building, provision of roof access, service walkways and fall protection guard rails on the roof and amendments to the car parking, bicycle parking and bin storage areas at ground floor level and a reduction in the standard car parking requirements",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=220309
174-178 Peel Street NORTH MELBOURNE VIC 3051,-37.803613,144.956737,Modification of the use and conditions of the permit to remove medical centre use and allow signage associated with the personal fitness studio,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=219737
177-187 Boundary Road NORTH MELBOURNE VIC 3051,-37.7886627,144.9401107,Erection and display of high wall business indentification sign,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=219739
13 Byron Street NORTH MELBOURNE VIC 3051,-37.802024,144.952204,Demolition and replacement of front fence and painting of front facade,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=219693
530-538 Victoria Street NORTH MELBOURNE VIC 3051,-37.804627,144.948458,Use of the site as an education centre and a reduction in the car parking requirements,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=219486
29 Chapman Street NORTH MELBOURNE VIC 3051,-37.797278,144.949108,Construction of timber screen above the eastern boundary fence,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=219261
20-26 Errol Street NORTH MELBOURNE VIC 3051,-37.804601,144.949838,Construction and display of illuminated business identification signs on the canopy fascia,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=219097
68-82 Leveson Street NORTH MELBOURNE VIC 3051,-37.802482,144.95171,225 lot subdivision of PS716082E,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=218821
366-384 Queensberry Street NORTH MELBOURNE VIC 3051,-37.803241,144.954954,138 lot subdivision of PS721454N,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=218694
386-392 Queensberry Street NORTH MELBOURNE VIC 3051,-37.803317,144.954751,138 lot subdivision of PS721454N,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=218694
133-139 Capel Street NORTH MELBOURNE VIC 3051,-37.804789,144.954876,To use the building for a place of worship and associated facilities (including ancillary office) and to reduce the car parking requirement,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=218713
98 Munster Terrace NORTH MELBOURNE VIC 3051,-37.800985,144.943261,"Demolition of existing building and construction of 2, four storey dwellings",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=218462
19-23 Provost Street NORTH MELBOURNE VIC 3051,-37.8019918,144.9469639,Change of use to warehouse and bicycle retail sales with associated display of business identification signage and reduction to car parking requirement,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=218214
19-21 Little Leveson Street NORTH MELBOURNE VIC 3051,-37.804376,144.951516,2 lot subdivision of PS730067U,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=217979
199 Peel Street NORTH MELBOURNE VIC 3051,-37.802948,144.956153,"remove Easement E-1 on PC 374472G, remove Easement E-1 on PC 374473E and to create new Easement E-1",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=218053
46 Shiel Street NORTH MELBOURNE VIC 3051,-37.796463,144.942948,Replacement of proposed brick fence to colourbond fence,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=217676
453 Dryburgh Street NORTH MELBOURNE VIC 3051,-37.794443,144.944619,Partial demolition and additions to the existing dwelling on a lot in a Heritage Overlay,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=217938
65 Leveson Street NORTH MELBOURNE VIC 3051,-37.802867,144.950842,Partial demolition and construction of a double storey extension to the existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=217450
10 Leeming Place NORTH MELBOURNE VIC 3051,-37.794659,144.947603,Installation of solar panels on roof of premises,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=217214
550A Queensberry Street NORTH MELBOURNE VIC 3051,-37.802632,144.949163,Partial demolition and construction of alterations and additions to existing building for conversion into two dwellings,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=217242
366-384 Queensberry Street NORTH MELBOURNE VIC 3051,-37.803241,144.954954,"Demolition of existing building under the Heritage Overlay. Buildings and works under the Mixed Use Zone, Design and Development Overlay (DDO32) and Heritage Overlay. Reduction in car parking under clause 52.06",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=217206
386-392 Queensberry Street NORTH MELBOURNE VIC 3051,-37.803317,144.954751,"Demolition of existing building under the Heritage Overlay. Buildings and works under the Mixed Use Zone, Design and Development Overlay (DDO32) and Heritage Overlay. Reduction in car parking under clause 52.06",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=217206
68-74 Courtney Street NORTH MELBOURNE VIC 3051,-37.800461,144.952573,Buildings and works to carry out partial demolition and construct multi storey buildings to be used for the purposes of dwellings with basement and a reduction in the car parking requirements,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=216970
14-22 Villiers Street NORTH MELBOURNE VIC 3051,-37.799987,144.9526486,Buildings and works to carry out partial demolition and construct multi storey buildings to be used for the purposes of dwellings with basement and a reduction in the car parking requirements,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=216970
75-77 Errol Street NORTH MELBOURNE VIC 3051,-37.803337,144.949269,Replacement of business identification signage,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=216725
69-73 Flemington Road NORTH MELBOURNE VIC 3051,-37.799371,144.953563,Demolition of the existing building and construction of a multiple level apartment building with a shop (excluding bottle shop and adult sex bookshop) and a reduction in the statutory car parking and loading and unloading requirements,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=216728
364-366 Victoria Street NORTH MELBOURNE VIC 3051,-37.805444,144.954133,Display of business identification signage (retrospective),http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=216780
16 Mary Street NORTH MELBOURNE VIC 3051,-37.799235,144.952242,Demolition of eastern wing wall and replacement with new fence,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=216791
47 Canning Street NORTH MELBOURNE VIC 3051,-37.796304,144.943384,Part demolition and alterations to existing dwelling and construction of a second dwelling with a reduction in the standard car parking requirement,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=216795
116 Errol Street NORTH MELBOURNE VIC 3051,-37.802275,144.950204,External painting and construction and display of business identification signs,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=216913
119-121 Howard Street NORTH MELBOURNE VIC 3051,-37.8041776,144.9538528,"Use of land as a convenience restaurant and for sale and consumption of liquor under a restaurant and cafe licence, external alterations, waiver of car parking requirements and business identification signage",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=216614
10 Elm Place NORTH MELBOURNE VIC 3051,-37.8035754,144.9459613,Construction of a new three storey dwelling with a roof deck,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=216494
18 Elm Place NORTH MELBOURNE VIC 3051,-37.8035754,144.9459613,Construction of a new three storey dwelling with roof terrace,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=216496
1-3 Peckville Street NORTH MELBOURNE VIC 3051,-37.7954838,144.9429623,Partial demolition and construction of alterations and additions to construct a new dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=216250
40 Canning Street CARLTON VIC 3053,-37.798577,144.972987,Partial demolition and construction of alterations and additions to construct a new dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=216250
63 Chetwynd Street NORTH MELBOURNE VIC 3051,-37.804581,144.951922,Alterations to rear of dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=216058
93 Arden Street NORTH MELBOURNE VIC 3051,-37.800887,144.947489,4 lot subdivision of PS526333P,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=215853
184 Abbotsford Street NORTH MELBOURNE VIC 3051,-37.803035,144.945812,Conversion of existing garage to second dwelling on the site and partial demolition and construction of alterations and additions to existing garage,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=215779
339 Queensberry Street NORTH MELBOURNE VIC 3051,-37.804074,144.956813,Partial demolition and alterations to front facade of building,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=215787
41-61 Boundary Road NORTH MELBOURNE VIC 3051,-37.793831,144.938893,Construction of mezzanine level to existing building and use of the premises as an educational training facility,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=215794
45-47 Little Leveson Street NORTH MELBOURNE VIC 3051,-37.8042937,144.9516652,2 lot subdivision of PS546856R,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=215616
440 Victoria Street NORTH MELBOURNE VIC 3051,-37.805081,144.951571,"Buildings and works, including partial demolition of the existing building, to construct four dwellings",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=76746
19 Capel Place NORTH MELBOURNE VIC 3051,-37.804255,144.954545,Alterations to existing garage door,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=215547
26 Curran Street NORTH MELBOURNE VIC 3051,-37.791999,144.943742,"Partial demolition and construction of a second dwelling at rear of existing, with associated reduction to car parking requirement",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=215475
60 Howard Street NORTH MELBOURNE VIC 3051,-37.803888,144.954297,Retropsective removal and replacement of existing fences; construction of gates and extension to existing deck.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=215483
58 Howard Street NORTH MELBOURNE VIC 3051,-37.803955,144.954284,Retropsective removal and replacement of existing fences; construction of gates and extension to existing deck.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=215483
43 Curzon Street NORTH MELBOURNE VIC 3051,-37.804076,144.94756,Partial demolition and construction of alterations and additions to existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=215136
450-454 Queensberry Street NORTH MELBOURNE VIC 3051,-37.8032532,144.9522317,Demolition of existing building and construction of a four storey building comprising of 24 dwellings  and associated car parking and bicycle facilities and removal of existing vehicle crossover,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=215296
111-113 Arden Street NORTH MELBOURNE VIC 3051,-37.8008936,144.9469354,Buildings and works including addition of a third floor and change of use from industrial to office with associated reduction to car parking requirement,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=215095
31-55 Curran Street NORTH MELBOURNE VIC 3051,-37.793271,144.942752,Part demolition of the building and construction of additions,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=214842
20-24 Vale Street NORTH MELBOURNE VIC 3051,-37.7996939,144.9534042,Amend plans which includes: reduce the floor heights and add an additional storey (a total of eight storeys),http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=214846
6 Curzon Street NORTH MELBOURNE VIC 3051,-37.804586,144.948152,Construction of a new dwelling on a lot less than 300sqm and in a Heritage Overlay and Design and Development Overlay 31,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=214855
33-39 Racecourse Road NORTH MELBOURNE VIC 3051,-37.789719,144.940738,To consolidate land contained within TP227716B and TP250321U and removal of carriageway and drainage easement shown on TP227716B,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=214769
409 Flemington Road NORTH MELBOURNE VIC 3051,-37.7893633,144.9418591,Installation and display of a major promotion sign,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=211702
437-439 Dryburgh Street NORTH MELBOURNE VIC 3051,-37.7983292,144.9442508,External alterations to replace existing roof tiles with new slates and to carry out tuckpointing to front facade,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=214586
46 Molesworth Street NORTH MELBOURNE VIC 3051,-37.797458,144.948481,construct a two-storey building at the rear of the site to be used as a garage-studio,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=214595
2 Gardiner Street NORTH MELBOURNE VIC 3051,-37.804449,144.953473,Change of use from private dwelling to short-term accommodation,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=214511
159-161 Abbotsford Street NORTH MELBOURNE VIC 3051,-37.8037168,144.9450193,Demolition of existing brick warehouse and construction of four three-storey dwellings,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=214366
461 Dryburgh Street NORTH MELBOURNE VIC 3051,-37.794259,144.944652,"Partial demolition and buildings and works to construct two dwellings to the rear of the lot facing Mugg Lane, external alterations to the existing building including carrying out external painting",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=214374
208-292 Arden Street NORTH MELBOURNE VIC 3051,-37.79936,144.938766,Construction of additions to the existing fence,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=214389
46 Shiel Street NORTH MELBOURNE VIC 3051,-37.796463,144.942948,Demolition of the existing fence and construction of a new fence,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=214283
579-589 Queensberry Street NORTH MELBOURNE VIC 3051,-37.803111,144.947773,Change of use to education centre,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=214336
114-116 Haines Street NORTH MELBOURNE VIC 3051,-37.798578,144.943416,"Construction of a ten storey residential building comprising 31 apartments, 23 car parking spaces and communal facilities.",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=214240
City Gardens 92-132 O'Shanassy Street NORTH MELBOURNE VIC 3051,-37.799575,144.9446388,Buildings and works (conversion of carport to garage),http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=213640
"Unit J8, 116 O'Shanassy Street NORTH MELBOURNE VIC 3051",-37.7994702,144.9446589,Buildings and works (conversion of carport to garage),http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=213640
600 Victoria Street NORTH MELBOURNE VIC 3051,-37.804458,144.946327,Partial demolition and construction of alterations and additions to existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=213998
88 Howard Street NORTH MELBOURNE VIC 3051,-37.802908,144.954522,Installation of solar hot water panel on roof,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=213849
7-9 Courtney Street NORTH MELBOURNE VIC 3051,-37.802636,144.954473,Installation of solar hot water panel on roof,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=213849
116 Errol Street NORTH MELBOURNE VIC 3051,-37.802275,144.950204,Use of land to sell and consume liquor (restaurant and cafe licence) and reduction in the associated car parking and bicycle facilities requirements,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=213854
68-82 Leveson Street NORTH MELBOURNE VIC 3051,-37.802482,144.95171,Demolition of the existing building and construction of a four storey residential building and a five storey residential building in accordance with the endorsed plans.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=213677
582 Victoria Street NORTH MELBOURNE VIC 3051,-37.804512,144.946819,Alterations and additions to the existing building including partial demolition and the construction of a two storey garage to the rear,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=213679
99-101 Munster Terrace NORTH MELBOURNE VIC 3051,-37.801071,144.942645,Use of the land for the purposes of motor vehicle sales and motor repairs,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=213692
79-81 Howard Street NORTH MELBOURNE VIC 3051,-37.805124,144.953341,Part demolition of the existing building and addition of a new roller door,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=213724
24-26 Little Leveson Street NORTH MELBOURNE VIC 3051,-37.8040427,144.9517317,Alterations and additions to an existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=213741
